Symbol,     Date,            Expiry,        Open,         High,          Low,         Close,           LTP,             Settle Price,       No. of contracts ,    Turnover Lakhs,             Open Int,               Change in OI,         Underlying Value  
TCS,     27-Oct-2023,     28-Dec-2023,      3371.40,      3402.90,      3371.40,      3393.70,      3395.95            ,3393.70             ,362.00              ,2149.60                  ,198275.00               ,14350.00                ,3350.95
TCS,     27-Oct-2023,     25-Jan-2024,      3396.95,      3408.35,      3394.15,      3405.75,      3404.50            ,3405.75             ,35.00               ,208.40                   ,3500.00                 ,3500.00                 ,3350.95
TCS,     30-Oct-2023,     30-Nov-2023,      3370.00,      3401.50,      3350.25,      3396.15,      3397.00            ,3396.15             ,6846.00             ,40547.29                 ,10844575.00             ,12250.00                ,3378.55
TCS,     30-Oct-2023,     28-Dec-2023,      3380.50,      3421.00,      3373.60,      3415.85,      3417.00            ,3415.85             ,293.00              ,1746.87                  ,201775.00               ,3500.00                 ,3378.55
TCS,     30-Oct-2023,     25-Jan-2024,      3400.00,      3430.00,      3400.00,      3425.30,      3425.30            ,3433.35             ,13.00               ,77.74                    ,4725.00                 ,1225.00                 ,3378.55
TCS,     31-Oct-2023,     30-Nov-2023,      3406.10,      3408.95,      3366.40,      3387.55,      3388.00            ,3387.55             ,8038.00             ,47575.87                 ,10768275.00             ,-76300.00               ,3368.75
TCS,     31-Oct-2023,     28-Dec-2023,      3421.85,      3421.85,      3387.15,      3406.25,      3410.00            ,3406.25             ,428.00              ,2545.68                  ,238875.00               ,37100.00                ,3368.75
TCS,     31-Oct-2023,     25-Jan-2024,      3418.30,      3418.30,      3400.00,      3400.00,      3400.00            ,3422.75             ,8.00                ,47.73                    ,5425.00                 ,700.00                  ,3368.75
TCS,     01-Nov-2023,     30-Nov-2023,      3382.30,      3392.75,      3331.90,      3351.90,      3333.15            ,3351.90             ,9165.00             ,54036.35                 ,11401075.00             ,632800.00               ,3330.65
TCS,     01-Nov-2023,     28-Dec-2023,      3395.00,      3413.00,      3354.05,      3370.70,      3354.05            ,3370.70             ,541.00              ,3204.82                  ,280525.00               ,41650.00                ,3330.65
TCS,     01-Nov-2023,     25-Jan-2024,      3413.55,      3417.05,      3377.10,      3383.45,      3377.10            ,3383.45             ,41.00               ,243.67                   ,7875.00                 ,2450.00                 ,3330.65
TCS,     02-Nov-2023,     30-Nov-2023,      3365.00,      3394.00,      3360.00,      3382.55,      3387.90            ,3382.55             ,10418.00            ,61692.08                 ,11405450.00             ,4375.00                 ,3360.10
TCS,     02-Nov-2023,     28-Dec-2023,      3382.65,      3411.65,      3382.60,      3401.65,      3405.00            ,3401.65             ,388.00              ,2310.22                  ,287000.00               ,6475.00                 ,3360.10
TCS,     02-Nov-2023,     25-Jan-2024,      3420.00,      3422.50,      3403.50,      3414.50,      3415.05            ,3414.50             ,18.00               ,107.60                   ,7175.00                 ,-700.00                 ,3360.10
TCS,     03-Nov-2023,     30-Nov-2023,      3390.00,      3402.70,      3366.70,      3371.25,      3372.25            ,3371.25             ,7544.00             ,44689.10                 ,11642925.00             ,237475.00               ,3350.90
TCS,     03-Nov-2023,     28-Dec-2023,      3419.70,      3420.65,      3387.00,      3389.45,      3388.60            ,3389.45             ,323.00              ,1923.17                  ,295925.00               ,8925.00                 ,3350.90
TCS,     03-Nov-2023,     25-Jan-2024,      3432.80,      3432.80,      3400.00,      3403.00,      3403.00            ,3403.00             ,34.00               ,203.12                   ,12250.00                ,5075.00                 ,3350.90
